id,sentence,target
4835,"  at times auto focus feels so distant you might as well be watching it through a yet in its own , way it 's so fascinating you wo n't be able to look away for a second",+
4836,"  aside from rohmer 's bold choices regarding point of view , the lady and the duke represents the filmmaker 's concern with experimentation in cinematic art",+
4837,"  it 's not it 's simply stupid , irrelevant and deeply , truly , cynical",-
4838,"  ms and mr bring fresh , unforced naturalism to their characters",+
4839,  its wind up sticking in one 's mind a lot more than the cool bits,-
4840,  an attempt at a movie of ideas,-
4841,  plays like some corny television production from a era,-
4842,  the best disney movie since the lion king,+
4843,"  unfunny and lacking any sense of commitment to or affection for its characters , the reginald hudlin comedy relies on toilet humor , ethnic",-
4844,  a well intentioned effort that 's still too by the actor 's offbeat sensibilities for the earnest emotional core to emerge with any degree of,-
4845,"  another big , dumb action movie in the vein of xxx , the transporter is riddled with plot holes big enough for its titular hero to drive his sleek black through",-
4846,"  despite the predictable parent vs child coming of age theme , first class , natural acting and a look at the real americans make this a charmer",+
4847,  rarely has so much money delivered so little entertainment,-
4848,"  woody allen 's latest is an , broad comedy about all there is to love and hate about the movie",+
4849,  it and attempts to at least three dull plots into one good one,-
4850,  billy crystal and robert de niro through in a sequel you can refuse,-
4851,  spend your benjamins on a matinee,+
4852,  where bowling for columbine is at its most valuable is in its examination of america 's culture of fear as a root cause of gun violence,+
4853,  parker 's bartleby should have been the be all end all of the modern office anomie films,-
4854,  it 's a movie in the of chick flick hell,-
4855,  attal mixes comedy with a serious exploration of ego and jealousy within a seemingly marriage,+
4856,  an original little film about one young woman 's education,+
4857,"  it 's a cool event for the whole family maybe not a classic , but a movie the kids will want to see over and over again",+
4858,"  in the disturbingly involving family dysfunctional drama how i killed my father , french director anne fontaine delivers an inspired portrait of male ridden angst and the emotional that this human condition",+
4859,"  a shame that stealing harvard is too busy getting in its own way to be anything but frustrating , boring , and forgettable",-
4860,"  naipaul fans may be disappointed those who are not with the author 's work , on the other hand , may fall fast asleep",-
4861,"  a splendid entertainment , young in spirit but accomplished in all aspects with the of spirit and sense of ease that comes only with experience",+
4862,"  the film 's gamble to occasionally break up the live action scenes with animated sequences pays off , as does its sensitive handling of some delicate subject matter",+
4863,  at its best early on as it plays the culture between the brothers,+
4864,  hugely accomplished slice of hitchcockian suspense,+
4865,"  this is a truly , truly bad movie",-
4866,  all of creating historical context and off into a soap about the ups and downs of the heavy breathing between the two artists,-
4867,"  a bond movie is quite like calling a dog stupid , but when it has the to run over two hours , you feel like up with a kick",-
4868,"  kids do n't mind movies as much as adults , provided there 's lots of cute and clumsy people ` snow dogs ' has both",-
4869,"  there 's an epic here , but you have to put it together yourself",-
4870,"  you into a dizzying , volatile , of a situation that quickly out of control , while focusing on the what much more than the why",+
4871,  too gory to be a comedy and too silly to be an effective horror film,-
4872,"  a bright , inventive , thoroughly winning of fancy",+
4873,  a weird and wonderful comedy,+
4874,"  there are things to like about murder by numbers but , in the end , the disparate elements do n't gel",-
